Id,TestData,len,datetime,open,high,low,close,volume,openinterest,label,prediction,RandomSentimentStrat,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus

1,TestData,1,2020-01-02 23:59:59.999989,7202.55126953125,7212.1552734375,6935.27001953125,6985.47021484375,6985.47021484375,20802083465.0,1.0,1.0,RandomSentimentStrat,1,737426.9999999999,Broker,1,100000.0,100000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,

2,TestData,2,2020-01-03 23:59:59.999989,6984.4287109375,7413.71533203125,6914.99609375,7344.88427734375,7344.88427734375,28111481032.0,1.0,1.0,RandomSentimentStrat,2,737427.9999999999,Broker,2,193086.1191858687,93198.21115858301,BuySell,2,,7524.921062011718,Trades - Net Profit/Loss,2,,

3,TestData,3,2020-01-04 23:59:59.999989,7345.37548828125,7427.3857421875,7309.51416015625,7410.65673828125,7410.65673828125,18444271275.0,1.0,1.0,RandomSentimentStrat,3,737428.9999999999,Broker,3,193086.1191858687,92303.72823948259,BuySell,3,,,Trades - Net Profit/Loss,3,,

4,TestData,4,2020-01-05 23:59:59.999989,7410.45166015625,7544.4970703125,7400.53564453125,7411.3173828125,7411.3173828125,19725074095.0,1.0,1.0,RandomSentimentStrat,4,737429.9999999999,Broker,4,193086.1191858687,92294.74370035516,BuySell,4,,,Trades - Net Profit/Loss,4,,

5,TestData,5,2020-01-06 23:59:59.999989,7410.4521484375,7781.8671875,7409.29296875,7769.21923828125,7769.21923828125,23276261598.0,1.0,-1.0,RandomSentimentStrat,5,737430.9999999999,Broker,5,193086.1191858687,87427.40117024435,BuySell,5,,,Trades - Net Profit/Loss,5,,

6,TestData,6,2020-01-07 23:59:59.999989,7768.68212890625,8178.2158203125,7768.2275390625,8163.6923828125,8163.6923828125,28767291327.0,1.0,-1.0,RandomSentimentStrat,6,737431.9999999999,Broker,6,193086.1191858687,82062.70164710609,BuySell,6,,,Trades - Net Profit/Loss,6,,

7,TestData,7,2020-01-08 23:59:59.999989,8161.935546875,8396.73828125,7956.7744140625,8079.86279296875,8079.86279296875,31672559265.0,1.0,1.0,RandomSentimentStrat,7,737432.9999999999,Broker,7,193086.1191858687,83202.7553285653,BuySell,7,,,Trades - Net Profit/Loss,7,,

8,TestData,8,2020-01-09 23:59:59.999989,8082.2958984375,8082.2958984375,7842.40380859375,7879.0712890625,7879.0712890625,24045990466.0,1.0,-1.0,RandomSentimentStrat,8,737433.9999999999,Broker,8,193086.1191858687,85933.45094166233,BuySell,8,,,Trades - Net Profit/Loss,8,,

9,TestData,9,2020-01-10 23:59:59.999989,7878.3076171875,8166.55419921875,7726.77490234375,8166.55419921875,8166.55419921875,28714583844.0,1.0,-1.0,RandomSentimentStrat,9,737434.9999999999,Broker,9,193086.1191858687,82023.78192513577,BuySell,9,,,Trades - Net Profit/Loss,9,,

10,TestData,10,2020-01-11 23:59:59.999989,8162.19091796875,8218.359375,8029.64208984375,8037.53759765625,8037.53759765625,25521165085.0,1.0,1.0,RandomSentimentStrat,10,737435.9999999999,Broker,10,193086.1191858687,83778.36347390438,BuySell,10,,,Trades - Net Profit/Loss,10,,

11,TestData,11,2020-01-12 23:59:59.999989,8033.26171875,8200.0634765625,8009.05908203125,8192.494140625,8192.494140625,22903438381.0,1.0,-1.0,RandomSentimentStrat,11,737436.9999999999,Broker,11,193086.1191858687,81671.00761534668,BuySell,11,,,Trades - Net Profit/Loss,11,,

12,TestData,12,2020-01-13 23:59:59.999989,8189.77197265625,8197.7880859375,8079.70068359375,8144.1943359375,8144.1943359375,22482910688.0,1.0,-1.0,RandomSentimentStrat,12,737437.9999999999,Broker,12,193086.1191858687,82327.86839983077,BuySell,12,,,Trades - Net Profit/Loss,12,,

13,TestData,13,2020-01-14 23:59:59.999989,8140.93310546875,8879.51171875,8140.93310546875,8827.7646484375,8827.7646484375,44841784107.0,1.0,-1.0,RandomSentimentStrat,13,737438.9999999999,Broker,13,193086.1191858687,73031.54650735347,BuySell,13,,,Trades - Net Profit/Loss,13,,

14,TestData,14,2020-01-15 23:59:59.999989,8825.34375,8890.1171875,8657.1875,8807.0107421875,8807.0107421875,40102834650.0,1.0,-1.0,RandomSentimentStrat,14,737439.9999999999,Broker,14,193086.1191858687,73313.79251701513,BuySell,14,,,Trades - Net Profit/Loss,14,,

15,TestData,15,2020-01-16 23:59:59.999989,8812.4814453125,8846.4609375,8612.095703125,8723.7861328125,8723.7861328125,31313981931.0,1.0,-1.0,RandomSentimentStrat,15,737440.9999999999,Broker,15,193086.1191858687,74445.61867151286,BuySell,15,,,Trades - Net Profit/Loss,15,,

16,TestData,16,2020-01-17 23:59:59.999989,8725.2099609375,8958.1220703125,8677.31640625,8929.0380859375,8929.0380859375,36372139320.0,1.0,-1.0,RandomSentimentStrat,16,737441.9999999999,Broker,16,72053.0578153887,72053.0578153887,BuySell,16,8547.15666015625,,Trades - Net Profit/Loss,16,,-27946.94218461129

17,TestData,17,2020-01-18 23:59:59.999989,8927.2119140625,9012.1982421875,8827.33203125,8942.80859375,8942.80859375,32337772627.0,1.0,1.0,RandomSentimentStrat,17,737442.9999999999,Broker,17,139120.73511663053,70564.7648638414,BuySell,17,,9147.38121582031,Trades - Net Profit/Loss,17,,

18,TestData,18,2020-01-19 23:59:59.999989,8941.4453125,9164.3623046875,8620.080078125,8706.2451171875,8706.2451171875,34217320471.0,1.0,-1.0,RandomSentimentStrat,18,737443.9999999999,Broker,18,139120.73511663053,72378.27104504823,BuySell,18,,,Trades - Net Profit/Loss,18,,

19,TestData,19,2020-01-20 23:59:59.999989,8704.6318359375,8745.5908203125,8560.4736328125,8657.642578125,8657.642578125,26422375678.0,1.0,-1.0,RandomSentimentStrat,19,737444.9999999999,Broker,19,139120.73511663053,72750.86028110851,BuySell,19,,,Trades - Net Profit/Loss,19,,

